trip_id,customer_id,driver_id,booking_datetime,pickup_location,drop_location,distance_km,duration_minutes,vehicle_type,payment_method,surge_multiplier,fare,trip_status,cancellation_reason,driver_rating,customer_rating
T000030,C01766,D0284,2025-08-27 14:56:00,Udyog Vihar,Kalkaji,19.9,52,Auto,CASH,2.0,905.0,Completed,,3.9,4.6
T000031,C01772,D0022,2025-07-25 18:18:00,Connaught Place,Mohan Nagar,25.0,63,Bike,CASH,1.0,551.0,Completed,,3.9,3.5
T000032,C00913,D0599,2025-12-12 10:34:00,Botanical Garden,Sector 29 Gurugram,20.3,82,Sedan,CASH,1.5,777.75,Completed,,4.8,4.4
T000033,C02363,D0157,2025-04-07 04:13:00,Preet Vihar,Green Park,3.9,13,Mini,Upi,1.0,134.5,Completed,,4.1,4.9
T000034,C01342,D0323,2025-04-28 21:13:00,INA,Preet Vihar,5.7,25,Auto,Cash,1.0,185.5,Cancelled,Customer Cancelled,,
T000035,C00112,D0141,2025-08-14 03:53:00,Noida Sector 15,Janakpuri,13.9,55,Auto,Cash,2.0,737.0,Cancelled,Customer Cancelled,,
T000036,C00202,D0458,2025-08-13 12:12:00,Sarojini Nagar,Manesar,12.0,49,Sedan,Upi,1.0,328.0,Completed,,4.0,4.2
T000037,C02116,D0125,2025-03-25 06:07:00,Wave City Center,DLF Phase 1,18.5,73,Mini,Credit Card,1.0,473.5,Completed,,3.4,5.0
T000038,C02077,D0369,2025-09-02 08:32:00,Lajpat Nagar,Film City Noida,1.5,4,Auto,Credit Card,1.2,96.6,Completed,,4.9,3.2
T000039,C01477,D0318,2025-02-03 13:54:00,Sector 14 Gurugram,Laxmi Nagar,7.7,30,Mini,Credit Card,2.0,451.0,Completed,,,3.0
T000040,C01126,D0332,2025-01-24 04:54:00,IGI Airport T1,Hauz Khas,17.4,47,Mini,Upi,1.0,405.0,Completed,,4.4,4.5
T000041,C00251,D0215,2025-12-05 09:23:00,Ghaziabad Railway Station,Noida Sector 63,24.9,83,Mini,Upi,1.0,589.5,Completed,,4.5,4.6
T000042,C00744,D0374,2025-02-26 05:01:00,Pari Chowk,Sarojini Nagar,9.9,37,Bike,CASH,1.0,272.5,Completed,,3.1,3.1
T000043,C00117,D0482,2025-01-18 23:55:00,Nehru Place,Noida Sector 63,2.3,7,Auto,Upi,1.5,147.75,Completed,,3.3,3.0
T000044,C00913,D0095,2025-08-03 02:07:00,Logix Mall,Film City Noida,29.5,124,Auto,Wallet,1.5,1110.75,Cancelled,Driver Cancelled,,
T000045,C02471,D0001,2025-06-09 15:30:00,Aerocity,Defence Colony,10.4,37,Sedan,upi,1.5,420.0,Completed,,4.0,4.5
T000046,C02340,D0201,2025-03-06 07:32:00,Defence Colony,Kalkaji,7.5,19,Sedan,Credit Card,1.0,200.5,Completed,,3.6,4.2
T000047,C01024,D0232,2025-05-09 05:46:00,Sector 29 Gurugram,Laxmi Nagar,10.5,46,SUV,cash,2.0,599.0,Completed,,4.5,3.3
T000048,C01729,D0384,2025-12-05 04:37:00,Udyog Vihar,Dwarka,22.7,93,Sedan,UPI,2.0,1153.0,Completed,,4.6,5.0
T000049,C00059,D0147,2025-11-21 01:53:00,Airport T3,Saket,12.5,31,Sedan,Wallet,1.2,359.4,Completed,,4.7,3.4
T000050,C02365,D0416,2025-08-20 06:29:00,Ghaziabad Railway Station,New Delhi Railway Station,16.8,45,Mini,CASH,1.0,392.0,Completed,,3.7,4.8
T000051,C01046,D0350,2025-09-07 17:29:00,Sector 29 Gurugram,Jama Masjid,20.4,64,Mini,cash,1.5,726.0,Cancelled,Driver Cancelled,,
T000052,C01497,D0437,2025-11-25 00:34:00,Defence Colony,Jama Masjid,7.6,25,Mini,upi,1.0,214.0,Completed,,4.1,3.6
T000053,C01424,D0315,2025-08-20 13:35:00,Chandni Chowk,Greater Noida West,6.3,26,Auto,Cash,1.5,294.75,Cancelled,Driver Cancelled,,
T000054,C02788,D0228,2025-01-09 06:46:00,DLF Phase 1,Mandi House,16.2,65,Sedan,UPI,1.5,634.5,Completed,,4.6,3.7
T000055,C00944,D0544,2025-03-27 11:10:00,Jama Masjid,Cyber Hub,5.8,21,SUV,Cash,1.5,268.5,Completed,,4.7,4.5
T000056,C00623,D0554,2025-11-09 13:54:00,INA,Anand Vihar Railway Station,2.4,10,SUV,cash,1.2,127.2,Cancelled,Customer Cancelled,,
T000057,C02138,D0432,2025-09-01 14:20:00,Greater Kailash,Sohna Road,28.2,70,Mini,cash,1.0,613.0,Completed,,3.4,4.5
T000058,C02433,D0069,2025-01-31 13:08:00,Nehru Place,Wave City Center,24.9,100,Mini,Credit Card,1.0,623.5,Completed,,4.6,4.3
T000059,C01602,D0199,2025-05-08 11:04:00,Vasant Kunj,Anand Vihar Railway Station,5.1,16,Mini,Upi,2.0,317.0,Completed,,3.4,3.3
T000060,C01129,D0336,2025-01-06 20:07:00,Alpha 1,Preet Vihar,16.2,65,Auto,Wallet,1.5,634.5,Completed,,3.5,3.9
T000061,C00512,D0555,2025-11-09 14:09:00,Kashmere Gate,DLF Phase 3,27.4,87,SUV,UPI,1.0,635.0,Completed,,3.8,4.8
T000062,C00463,D0478,2025-08-07 18:10:00,IFFCO Chowk,Cyber Hub,26.1,90,Bike,Cash,1.0,621.5,Completed,,4.0,3.2
T000063,C02998,D0372,2025-05-04 21:31:00,MG Road,Noida Sector 78,13.2,49,SUV,cash,1.0,346.0,Completed,,4.8,4.3
T000064,C01347,D0430,2025-12-08 08:22:00,Chandni Chowk,Karol Bagh,3.9,16,Mini,Wallet,1.0,140.5,Completed,,3.4,3.9
T000065,C01089,D0107,2025-12-29 15:35:00,Vasundhara,Bisrakh,11.9,42,SUV,Credit Card,2.0,625.0,Completed,,3.1,3.2
T000066,C02633,D0101,2025-10-22 03:07:00,DLF Phase 3,Airport T3,11.5,44,Bike,Credit Card,1.5,465.75,Completed,,4.6,4.4
T000067,C00164,D0356,2025-11-28 14:54:00,Botanical Garden,Indirapuram,26.0,66,SUV,Credit Card,1.2,686.4,Completed,,4.3,3.1
T000068,C02323,D0186,2025-01-13 20:21:00,Jama Masjid,Laxmi Nagar,27.7,113,Mini,Wallet,2.0,1383.0,Completed,,4.7,3.5
T000069,C02798,D0353,2025-06-30 07:17:00,Noida City Centre,Pitampura,10.4,40,Mini,cash,2.0,572.0,Completed,,4.5,3.3
T000070,C02288,D0561,2025-11-28 10:47:00,Noida Sector 37,DLF Phase 3,11.1,45,Auto,upi,1.2,367.8,Cancelled,Customer Cancelled,,
T000071,C01441,D0552,2025-04-27 10:53:00,Preet Vihar,Jama Masjid,27.5,73,Sedan,CASH,1.2,730.2,Completed,,4.2,4.3
T000072,C01568,D0208,2025-05-16 22:31:00,ITO,Yamuna Bank,24.4,104,Sedan,Upi,1.0,624.0,Completed,,3.6,3.2
T000073,C02384,D0318,2025-09-17 22:41:00,Surajpur,Mayur Vihar,22.9,81,Mini,upi,1.2,666.6,Completed,,3.4,3.2
T000074,C02450,D0415,2025-05-15 04:45:00,Yamuna Bank,Delta 1,11.3,31,Bike,upi,1.2,337.8,Completed,,4.7,4.5
T000075,C01204,D0584,2025-02-12 10:14:00,Noida Sector 137,Rohini,8.1,22,Mini,UPI,1.0,215.5,Completed,,4.0,4.7
T000076,C00897,D0252,2025-04-26 14:41:00,RK Puram,Nehru Place,1.4,4,SUV,Wallet,1.0,79.0,Completed,,4.7,3.8
T000077,C02258,D0582,2025-04-09 13:11:00,Alpha 1,Vaishali,12.6,46,Bike,cash,1.2,397.2,Completed,,4.4,5.0
T000078,C01080,D0442,2025-07-09 11:57:00,Airport T3,Dilshad Garden,16.7,44,Auto,Upi,2.0,777.0,Completed,,3.6,4.7
T000079,C02878,D0253,2025-10-03 18:08:00,Jama Masjid,Greater Noida West,21.5,76,Mini,Cash,1.0,524.5,Completed,,4.4,4.4
T000080,C02642,D0568,2025-04-25 14:17:00,Crossings Republik,Pitampura,14.3,48,SUV,Credit Card,1.5,540.75,Completed,,3.1,5.0
T000081,C00091,D0574,2025-08-18 17:41:00,Model Town,Mandi House,14.8,57,Bike,CASH,1.0,386.0,Completed,,3.1,4.4
T000082,C02334,D0259,2025-01-15 22:38:00,Wave City Center,Noida Sector 78,0.0,93,Auto,Cash,1.2,668.4,Completed,,4.3,3.6
T000083,C02856,D0312,2025-06-19 07:36:00,Greater Noida West,Noida Sector 62,5.2,18,Sedan,CASH,2.0,328.0,Completed,,4.7,4.9
T000084,C00217,D0367,2025-10-28 03:49:00,Kashmere Gate,Ghaziabad Railway Station,2.8,9,Mini,Cash,1.0,110.0,Completed,,3.5,4.2
T000085,C00735,D0186,2025-01-16 20:59:00,Pari Chowk,Udyog Vihar,4.5,12,Mini,Credit Card,1.2,169.8,Completed,,4.6,3.8
T000086,C01944,D0142,2025-06-25 05:06:00,Preet Vihar,Pragati Maidan,6.1,20,Mini,Wallet,1.0,181.5,Completed,,3.2,3.5
T000087,C00822,D0233,2025-06-29 20:40:00,Chandni Chowk,ITO,14.1,37,Mini,UPI,1.0,335.5,Completed,,4.8,3.1
T000088,C02282,D0061,2025-12-16 11:06:00,Malviya Nagar,Connaught Place,28.9,102,Auto,CASH,1.0,687.5,Completed,,3.8,3.1
T000089,C02327,D0577,2025-07-11 02:11:00,AIIMS,Loni,19.0,54,Mini,CASH,1.0,443.0,Completed,,3.2,4.4
T000090,C00634,D0384,2025-10-21 05:57:00,Noida Sector 137,Huda City Centre,0.0,103,Sedan,Upi,1.5,957.75,Completed,,4.6,
T000091,C02549,D0040,2025-10-03 03:51:00,Preet Vihar,Mayur Vihar,4.1,15,Mini,Upi,1.5,212.25,Completed,,4.8,4.0
T000092,C02472,D0159,2025-11-10 10:29:00,Sector 29 Gurugram,Ecotech,25.1,102,Mini,upi,1.0,630.5,Completed,,3.7,3.7
T000093,C00981,D0503,2025-04-07 12:02:00,Mandi House,Model Town,27.6,119,Bike,upi,2.0,1404.0,Completed,,4.7,3.2
T000094,C02683,D0329,2025-09-27 18:36:00,MG Road,Gamma 1,16.1,64,Bike,Cash,2.0,839.0,Completed,,3.6,3.3
T000095,C00812,D0300,2025-11-17 13:25:00,Noida Sector 78,Noida Sector 15,3.4,8,Auto,CASH,1.0,117.0,Completed,,4.1,4.2
T000096,C01253,D0510,2025-05-28 21:44:00,Model Town,Gamma 1,25.1,72,Mini,cash,1.0,570.5,Completed,,4.8,4.5
T000097,C02340,D0556,2025-03-30 20:20:00,Udyog Vihar,Pitampura,16.5,42,SUV,Credit Card,1.0,381.5,Completed,,3.4,4.9
T000098,C00215,D0445,2025-09-18 16:54:00,Hauz Khas,Alpha 1,11.8,46,SUV,upi,1.0,319.0,Completed,,3.9,3.4
T000099,C00908,D0328,2025-02-07 22:13:00,Pari Chowk,Sarojini Nagar,17.6,65,Sedan,Credit Card,1.0,444.0,Completed,,3.4,4.4
T000100,C01190,D0005,2025-05-04 21:52:00,Seelampur,Hauz Khas,29.6,122,Auto,Credit Card,1.0,738.0,Completed,,,3.3
T000101,C01009,D0265,2025-08-05 21:36:00,IFFCO Chowk,Mohan Nagar,10.0,43,Auto,cash,2.0,572.0,Completed,,3.8,3.0
T000102,C01695,D0387,2025-05-23 06:52:00,Manesar,Wave City Center,8.3,20,Mini,Credit Card,2.0,429.0,Completed,,3.1,4.5
T000103,C00528,D0229,2025-02-06 20:07:00,Lajpat Nagar,Malviya Nagar,27.2,94,SUV,CASH,1.0,646.0,Completed,,3.3,4.5
T000104,C02789,D0408,2025-05-26 17:18:00,Anand Vihar Railway Station,Crossings Republik,8.6,34,Bike,Cash,1.2,296.4,Completed,,4.9,4.1
T000105,C02040,D0206,2025-03-07 16:02:00,Logix Mall,Wave City Center,4.2,12,Sedan,Upi,1.2,164.4,Cancelled,Driver Cancelled,,
T000106,C02842,D0070,2025-05-04 13:39:00,Akshardham,Noida City Centre,22.4,75,Auto,Cash,1.0,536.0,Completed,,4.5,4.4
T000107,C00180,D0583,2025-01-08 04:21:00,Aerocity,Hauz Khas,11.2,32,SUV,UPI,2.0,564.0,Completed,,3.8,3.3
T000108,C01196,D0518,2025-02-02 07:11:00,Mohan Nagar,AIIMS,10.7,42,SUV,Wallet,1.0,294.5,Completed,,3.1,3.5
T000109,C02165,D0295,2025-10-13 05:09:00,Ecotech,Shahdara,2.6,10,Bike,UPI,1.2,130.8,Completed,,4.2,3.3
T000110,C01318,D0380,2025-01-20 04:57:00,Daryaganj,Cyber Hub,7.8,25,Bike,UPI,1.5,325.5,Completed,,4.6,4.5
T000111,C00491,D0230,2025-11-18 01:36:00,Delta 1,Kashmere Gate,1.6,6,Bike,Credit Card,1.2,103.2,Completed,,3.6,4.2
T000112,C01842,D0244,2025-12-16 15:39:00,Aerocity,Mandi House,29.4,110,Auto,Upi,1.2,853.2,Completed,,3.9,4.8
T000113,C00917,D0148,2025-05-27 20:46:00,Hauz Khas,Noida Sector 18,30.0,127,Mini,UPI,1.0,754.0,Cancelled,Customer Cancelled,,
T000114,C01229,D0148,2025-01-22 14:26:00,IFFCO Chowk,Delta 1,25.7,115,Mini,CASH,1.0,665.5,Completed,,3.4,3.8
T000115,C01712,D0472,2025-08-20 14:24:00,Film City Noida,Pragati Maidan,10.8,41,SUV,Cash,1.0,294.0,Completed,,,4.4
T000116,C02329,D0200,2025-12-04 19:23:00,Film City Noida,Surajpur,26.0,106,Sedan,cash,1.0,652.0,Completed,,3.4,3.3
T000117,C00446,D0556,2025-11-30 14:19:00,Manesar,Ghaziabad Railway Station,13.0,37,SUV,Upi,1.0,319.0,Completed,,4.3,4.9
T000118,C01769,D0185,2025-08-15 00:44:00,Sarojini Nagar,Noida Sector 18,17.5,49,SUV,Upi,2.0,821.0,Completed,,4.3,4.2
T000119,C00811,D0155,2025-07-30 10:29:00,IGI Airport T1,DLF Phase 1,4.8,20,Mini,UPI,1.0,162.0,Completed,,4.4,
T000120,C00352,D0022,2025-01-05 01:21:00,Red Fort,Dilshad Garden,28.0,89,Bike,Upi,2.0,1296.0,Completed,,4.9,3.6
T000121,C00271,D0372,2025-11-16 10:37:00,Noida City Centre,DLF Mall of India,10.8,30,SUV,upi,1.0,272.0,Completed,,4.6,3.3
T000122,C00623,D0168,2025-08-01 03:34:00,Ghaziabad Railway Station,Noida Sector 62,5.6,20,Auto,cash,1.2,208.8,Completed,,4.4,4.8
T000123,C00465,D0151,2025-08-16 03:48:00,Rohini,Nehru Place,26.5,91,Sedan,Upi,1.2,755.4,Completed,,4.5,4.2
T000124,C01485,D0452,2025-10-27 18:11:00,Noida City Centre,Rajouri Garden,29.1,127,Bike,CASH,1.5,1110.75,Completed,,4.8,5.0
T000125,C01516,D0071,2025-04-01 04:39:00,Laxmi Nagar,Cyber City,12.4,34,SUV,Cash,2.0,608.0,Completed,,4.9,3.6
T000126,C02914,D0086,2025-07-01 19:51:00,Pari Chowk,Rajouri Garden,19.0,69,Auto,CASH,1.0,473.0,Completed,,4.7,3.4
T000127,C01148,D0533,2025-01-13 15:20:00,Malviya Nagar,Pitampura,19.8,77,Auto,Wallet,1.0,501.0,Completed,,5.0,3.7
T000128,C01118,D0470,2025-12-04 02:21:00,Ecotech,Dwarka,4.8,21,SUV,UPI,1.5,246.0,Completed,,4.5,3.0
T000129,C01560,D0205,2025-08-29 12:24:00,Dwarka,MG Road,20.5,79,SUV,CASH,1.0,515.5,Completed,,4.6,4.7
T000130,C01739,D0417,2025-12-29 10:08:00,ITO,Sohna Road,8.6,24,Auto,cash,1.0,227.0,Completed,,3.2,3.9
T000131,C02752,D0087,2025-12-08 10:55:00,Greater Noida West,Lajpat Nagar,1.7,4,Auto,Cash,1.0,83.5,Completed,,3.1,3.7
T000132,C00631,D0586,2025-05-02 02:55:00,Kashmere Gate,Karol Bagh,22.0,87,Bike,upi,1.0,554.0,Completed,,3.3,4.3
T000133,C01888,D0339,2025-12-07 03:39:00,South Extension,Model Town,21.4,62,Sedan,upi,2.0,990.0,Completed,,3.4,4.4
T000134,C00376,D0004,2025-08-10 21:14:00,Sarojini Nagar,Pitampura,21.8,71,Bike,Cash,2.0,1038.0,Completed,,4.0,3.4
T000135,C02029,D0191,2025-08-29 09:46:00,Sector 56 Gurugram,Vaishali,26.1,68,Mini,UPI,1.0,577.5,Cancelled,Driver Cancelled,,
T000136,C00721,D0203,2025-05-15 04:56:00,Delta 1,Indirapuram,29.2,113,Mini,upi,2.0,1428.0,Completed,,3.4,4.7
T000137,C00933,D0167,2025-07-22 20:53:00,Vaishali,Mayur Vihar,18.4,64,Sedan,Cash,1.0,454.0,Completed,,3.9,4.6
T000138,C00987,D0544,2025-01-04 20:56:00,Cyber City,Aerocity,9.2,25,SUV,upi,1.0,238.0,Completed,,4.0,4.8
T000139,C00248,D0441,2025-02-10 21:48:00,Huda City Centre,Noida City Centre,1.3,5,Mini,CASH,1.0,79.5,Completed,,4.2,4.8
T000140,C01481,D0068,2025-10-19 08:46:00,Shahdara,Botanical Garden,11.4,46,Bike,Wallet,1.0,313.0,Cancelled,Customer Cancelled,,
T000141,C02004,D0321,2025-10-07 23:12:00,Mahipalpur,Kaushambi,5.9,22,Mini,Wallet,1.2,219.0,Cancelled,Customer Cancelled,,
T000142,C01329,D0413,2025-08-26 14:28:00,Kalkaji,Nehru Place,22.4,73,Mini,Upi,1.0,532.0,Completed,,4.6,3.8
T000143,C02590,D0153,2025-07-24 11:00:00,Noida Sector 78,Sector 45 Gurugram,27.3,76,Bike,Cash,1.0,611.5,Completed,,3.2,3.8
T000144,C00614,D0278,2025-06-22 06:01:00,Pari Chowk,Noida Sector 18,5.6,23,Bike,cash,1.5,270.0,Completed,,3.5,4.0
T000145,C02965,D0512,2025-08-10 13:54:00,Saket,Pari Chowk,29.1,76,Bike,upi,1.0,638.5,Completed,,4.9,4.4
T000146,C02490,D0297,2025-03-14 07:33:00,Pari Chowk,RK Puram,13.1,33,Mini,Upi,1.0,312.5,Completed,,3.7,3.6
T000147,C02534,D0440,2025-11-10 03:38:00,Defence Colony,Gamma 1,9.2,36,Auto,Upi,2.0,520.0,Completed,,3.7,4.9
T000148,C00259,D0019,2025-08-17 11:26:00,IGI Airport T1,Sarojini Nagar,28.4,110,Sedan,Wallet,1.0,696.0,Completed,,4.6,4.1
T000149,C02365,D0340,2025-12-24 06:57:00,Defence Colony,Seelampur,23.7,86,Sedan,Cash,1.0,577.5,Completed,,4.6,3.5
T000150,C02308,D0482,2025-01-10 10:32:00,Jama Masjid,Noida Sector 18,22.8,85,Auto,Wallet,1.0,562.0,Completed,,3.9,4.8
T000151,C02982,D0273,2025-02-04 14:24:00,Manesar,AIIMS,23.9,72,Bike,CASH,1.0,552.5,Cancelled,Driver Cancelled,,
T000152,C01941,D0253,2025-04-25 20:00:00,Dilshad Garden,Pragati Maidan,24.9,86,Mini,cash,1.0,595.5,Completed,,4.9,4.0
T000153,C01287,D0550,2025-04-13 20:12:00,Kaushambi,Raj Nagar Extension,4.5,17,Bike,Cash,2.0,303.0,Completed,,4.0,4.0
T000154,C01017,D0386,2025-08-05 22:52:00,Karol Bagh,Preet Vihar,8.6,23,SUV,UPI,1.0,225.0,Completed,,4.3,4.5
T000155,C00323,D0378,2025-08-27 04:28:00,Mohan Nagar,Noida Sector 15,17.1,63,Mini,upi,1.0,432.5,Cancelled,Customer Cancelled,,
T000156,C01868,D0283,2025-04-12 22:38:00,Botanical Garden,Anand Vihar Railway Station,5.7,15,Mini,upi,1.0,165.5,Completed,,3.1,3.7
T000157,C01955,D0378,2025-03-14 10:53:00,Golf Course Road,Noida Sector 15,17.0,63,Mini,CASH,2.0,862.0,Completed,,3.8,3.7
T000158,C00142,D0290,2025-06-15 18:48:00,Bisrakh,Rohini,26.6,69,Mini,Upi,2.0,1174.0,Completed,,4.0,4.9
T000159,C00574,D0156,2025-02-22 16:10:00,Huda City Centre,Airport T3,3.7,11,Sedan,CASH,1.0,127.5,Completed,,3.2,3.7
T000160,C00285,D0505,2025-07-25 17:03:00,Beta 1,Noida Sector 63,19.6,64,Sedan,upi,1.0,472.0,Completed,,4.6,3.9
T000161,C00473,D0268,2025-04-27 07:03:00,Loni,Cyber Hub,17.2,44,Sedan,Cash,2.0,792.0,Completed,,4.0,3.1
T000162,C00953,D0157,2025-03-12 16:20:00,Dilshad Garden,Noida Sector 18,22.9,87,Mini,cash,1.0,567.5,Completed,,4.0,4.3
T000163,C02856,D0425,2025-10-09 02:02:00,INA,Kaushambi,2.0,5,Sedan,UPI,1.2,108.0,Completed,,3.7,3.2
T000164,C01508,D0522,2025-03-26 12:13:00,Kalkaji,Delta 1,1.2,4,Mini,cash,1.5,114.0,Completed,,3.5,3.7
T000165,C01591,D0164,2025-04-14 19:16:00,Seelampur,INA,10.5,31,Bike,cash,1.0,-269.5,Completed,,3.9,3.9
T000166,C02669,D0525,2025-07-27 06:11:00,Lajpat Nagar,Rohini,12.2,33,Mini,Cash,1.0,299.0,Completed,,,4.5
T000167,C01224,D0220,2025-10-31 09:23:00,Film City Noida,Pitampura,19.8,58,Mini,Cash,1.0,463.0,Completed,,4.0,3.6
T000168,C00887,D0186,2025-06-20 06:31:00,Golf Course Road,Noida Sector 16,21.9,74,Mini,Upi,1.2,631.8,Completed,,4.8,4.0
T000169,C02445,D0293,2025-12-08 07:04:00,Raj Nagar Extension,Daryaganj,26.6,111,SUV,UPI,1.5,1006.5,Completed,,4.7,4.9
T000170,C00001,D0311,2025-08-16 12:46:00,Bisrakh,Saket,3.8,12,Bike,Cash,2.0,262.0,Completed,,4.9,4.5
T000171,C01528,D0078,2025-05-24 13:41:00,Rajouri Garden,Preet Vihar,23.3,100,Sedan,Upi,1.0,599.5,Completed,,3.5,4.9
T000172,C00839,D0124,2025-11-22 23:43:00,Janakpuri,DLF Mall of India,6.1,16,Bike,Cash,2.0,347.0,Completed,,3.9,4.8
T000173,C02847,D0571,2025-05-20 08:01:00,MG Road,Bisrakh,14.9,59,Bike,Cash,1.0,391.5,Completed,,3.1,4.4
T000174,C00123,D0039,2025-09-12 13:53:00,Film City Noida,Noida Sector 62,6.1,15,Sedan,upi,1.0,171.5,Completed,,4.9,4.8
T000175,C02908,D0289,2025-09-03 06:51:00,Old Delhi Railway Station,Janakpuri,20.5,90,Auto,Cash,1.0,537.5,Completed,,4.4,4.6
T000176,C02664,D0046,2025-10-16 13:35:00,MG Road,Wave City Center,24.0,94,SUV,UPI,2.0,1196.0,Completed,,3.6,3.2
T000177,C01505,D0468,2025-08-30 17:10:00,Akshardham,Sector 45 Gurugram,27.2,107,Bike,Upi,1.5,1008.0,Completed,,3.6,4.3
T000178,C01668,D0179,2025-10-25 12:23:00,Film City Noida,ITO,23.3,65,Bike,Wallet,2.0,1059.0,Completed,,4.4,3.8
T000179,C01769,D0089,2025-11-05 08:56:00,Greater Kailash,Yamuna Bank,27.8,105,Mini,Upi,1.2,812.4,Cancelled,Driver Cancelled,,
T000180,C01407,D0519,2025-11-17 04:38:00,Yamuna Bank,Ecotech,19.3,76,Sedan,Upi,1.5,737.25,Completed,,5.0,4.6
T000181,C02840,D0406,2025-02-11 13:56:00,Lajpat Nagar,Greater Noida West,16.8,59,SUV,UPI,1.5,630.0,Completed,,3.5,4.1
