pickup_location,drop_location,trips,revenue
Indirapuram,INA,6,4653.75
"Nehru Place",Akshardham,6,4075
"Vasant Kunj","Airport T3",6,2354
Indirapuram,"Sector 56 Gurugram",6,2596.5
Vasundhara,"Preet Vihar",6,3682
"Sohna Road",AIIMS,6,2152.25
Dwarka,"South Extension",6,2139
"Crossings Republik",Kalkaji,6,1907.45
"Greater Noida West",Janakpuri,6,2658.3
"DLF Mall of India","Sector 56 Gurugram",6,2454.5
"Preet Vihar","Cyber City",6,4548.5
"Huda City Centre","Connaught Place",6,2882.35
"Wave City Center",Seelampur,6,3002.75
Janakpuri,Indirapuram,6,3467.3
"Knowledge Park","Delta 1",6,2941.25
"Dilshad Garden",Vaishali,6,3324.75
"Sohna Road","DLF Phase 3",6,1874.7
"Wave City Center",Dwarka,6,3536.9000000000005
"Anand Vihar ISBT","Lajpat Nagar",6,3394.55
"Dilshad Garden","Udyog Vihar",6,2535.1
Loni,"Green Park",6,3642
Kaushambi,"Knowledge Park",6,1704.6
Vasundhara,"Beta 1",6,2881.75
Kaushambi,"DLF Phase 3",6,2268
"Sector 29 Gurugram","Noida Sector 137",6,3276.1
"DLF Phase 4","DLF Mall of India",6,1977.75
Manesar,"Preet Vihar",6,2701.7
"Raj Nagar Extension","Noida City Centre",6,3394.15
"Sohna Road",Manesar,6,3368.75
"New Delhi Railway Station","Red Fort",6,2839.45
"Ghaziabad Railway Station","DLF Phase 1",6,2284.75
"Noida Sector 37","Sarojini Nagar",6,2905.5
Saket,Aerocity,6,3326.3
"Raj Nagar Extension","IFFCO Chowk",6,3731.9
"Raj Nagar Extension",AIIMS,6,2476.75
AIIMS,Saket,6,2638.65
"Chandni Chowk","Noida Sector 62",6,2747.1
"Chandni Chowk","Greater Noida West",6,2701.45
"Sohna Road","Beta 1",6,6568.6
AIIMS,Vaishali,6,2261.3
"Connaught Place",Pitampura,6,2316.75
Manesar,"Sohna Road",6,2777.9
Akshardham,"South Extension",6,3449.65
Manesar,"Lajpat Nagar",6,8287.5
Kalkaji,"Airport T3",6,2393.2000000000003
"Connaught Place",Rohini,6,3938.25
"Noida Sector 78","Gamma 1",6,2771.1
Kalkaji,"Connaught Place",6,2891.7
"Old Delhi Railway Station","Ghaziabad Railway Station",6,2773
"Green Park","Noida Sector 62",6,2986.05
"Noida Sector 16","MG Road",6,2260.5
"Kashmere Gate","IFFCO Chowk",6,6265.549999999999
Bisrakh,"DLF Phase 2",6,3578.1000000000004
"Model Town","Noida Sector 63",6,3000
"Beta 1",Ecotech,6,2959.6
"Red Fort","Knowledge Park",6,2595
Kalkaji,"Noida Sector 16",6,1722.15
"Malviya Nagar","Vasant Kunj",6,2820
Pitampura,"Film City Noida",6,3490.2
"Noida Sector 62","Mandi House",6,2531.75
"Sector 45 Gurugram",Daryaganj,6,2043.6
"Sarojini Nagar","Rajouri Garden",6,1619.75
"Dilshad Garden",Kaushambi,6,3149.5
"Mohan Nagar","Preet Vihar",6,2123.6
"Mohan Nagar","Sector 56 Gurugram",6,2871.85
"Sector 14 Gurugram","Defence Colony",6,3024.3
Loni,"Red Fort",6,4305.1
Manesar,"Delta 1",6,3468
Aerocity,"Sohna Road",6,2842.75
"Sector 56 Gurugram","Jama Masjid",6,2301.5
Bisrakh,"Noida Sector 62",6,3589.2
"Delta 1","Golf Course Road",6,2310.9
INA,"Udyog Vihar",6,3174.5
Aerocity,"IGI Airport T1",6,3298.9
"Noida Sector 78","Raj Nagar Extension",6,3662.5
"Lajpat Nagar","Raj Nagar Extension",6,3219.8500000000004
"Sohna Road",Bisrakh,6,3370.5
"Civil Lines","Noida Sector 63",6,2696.7999999999997
"Mandi House",Mahipalpur,6,2947
"Dilshad Garden","Sector 29 Gurugram",6,2293.05
"Old Delhi Railway Station","Lajpat Nagar",6,1797.75
"Kashmere Gate","Sarojini Nagar",6,2113.6
"MG Road","DLF Phase 1",6,1641.75
"Vasant Kunj","Laxmi Nagar",6,4229.4
"Anand Vihar Railway Station","RK Puram",6,2367.75
"Defence Colony","DLF Phase 1",6,3534.5
"RK Puram","Red Fort",6,3307.8
Kaushambi,"Airport T3",6,2583.65
"Lajpat Nagar","Jama Masjid",6,2326.4
"Botanical Garden","DLF Mall of India",6,4694.7
"RK Puram","Connaught Place",6,2566.1
"Connaught Place","Noida Sector 76",6,1872.5
"Chandni Chowk",AIIMS,6,3740.5499999999997
"Karol Bagh","Mohan Nagar",6,3379.9
"Knowledge Park","Hauz Khas",6,4140.8
"Hauz Khas","Udyog Vihar",6,4258.15
Mahipalpur,"Karol Bagh",6,2312.1
Janakpuri,Akshardham,6,2623.25
"New Delhi Railway Station",Daryaganj,6,3720.75
"Ghaziabad Railway Station","RK Puram",6,1533
"Nehru Place","Preet Vihar",6,3151.55
Daryaganj,"Kashmere Gate",6,2474.95
Bisrakh,"Cyber City",6,3217.8
"DLF Mall of India",INA,6,2557.7
"DLF Phase 1","Lajpat Nagar",6,2987.3
INA,"Old Delhi Railway Station",6,1945.6499999999999
"Red Fort",ITO,6,1168.5
"Yamuna Bank","Rajouri Garden",6,4056.25
"Noida Sector 76","Gamma 1",6,2245.45
Mahipalpur,"RK Puram",6,3418.5
"Noida Sector 37","Noida Sector 62",6,2697.1
"Noida Sector 63","Delta 1",6,2211.9
"Logix Mall","Noida Sector 15",6,2824
"Lajpat Nagar",Janakpuri,6,2424.85
"Sector 56 Gurugram",Pitampura,6,1390.25
"New Delhi Railway Station","Sector 14 Gurugram",6,3483
Ecotech,INA,6,2714.3
"Ghaziabad Railway Station","Greater Kailash",6,3172.75
"Gamma 1","Dilshad Garden",6,2202.5
"Jama Masjid","DLF Phase 4",6,1991.1
Loni,"Model Town",6,2933.3
"Civil Lines","DLF Phase 2",6,3378.7000000000003
Indirapuram,"Logix Mall",6,3450.3500000000004
"DLF Phase 3",Ecotech,6,2357.5
"Noida Sector 16","Mayur Vihar",6,3646
"Sohna Road","Laxmi Nagar",6,2426
"Noida Sector 76","Alpha 1",6,3580.7
"Botanical Garden","Rajouri Garden",6,1873.1
"Jama Masjid","Raj Nagar Extension",6,4480
"Jama Masjid","Sarojini Nagar",6,3663.2000000000003
"Hauz Khas","Cyber Hub",5,1833
"IGI Airport T1","Karol Bagh",5,2331.9
"DLF Phase 2","Anand Vihar Railway Station",5,1776.3
Pitampura,"MG Road",5,2543.75
"Sector 45 Gurugram","MG Road",5,2103.5
"Sohna Road","Kashmere Gate",5,3030
"Delta 1","Green Park",5,1496
"Sector 45 Gurugram",Shahdara,5,2376.15
"Jama Masjid","Mohan Nagar",5,2339
"Mayur Vihar","Sector 45 Gurugram",5,2963.05
"Alpha 1","Anand Vihar ISBT",5,1924.5
"DLF Mall of India","Ambience Mall",5,3313.5
"Noida Sector 137","Cyber Hub",5,3484.7000000000003
"Alpha 1",Akshardham,5,2571.5
"IGI Airport T1",Mahipalpur,5,2423.4
"Greater Noida West","Red Fort",5,3719.1
"Pari Chowk","Sarojini Nagar",5,1924.9
"Alpha 1","Preet Vihar",5,2479.25
"DLF Phase 3","Airport T3",5,2167
AIIMS,Loni,5,2265.5
"Noida Sector 137","Huda City Centre",5,2681.25
"Mandi House","Model Town",5,4022.5
"Hauz Khas","Alpha 1",5,3004
Aerocity,"Mandi House",5,2250.95
Manesar,"Ghaziabad Railway Station",5,2981.5
"Laxmi Nagar","Cyber City",5,2770.4
"Delta 1",Indirapuram,5,3940.6
Bisrakh,Rohini,5,3656.25
"Film City Noida",Pitampura,5,3122.25
"Raj Nagar Extension",Daryaganj,5,4019.15
Daryaganj,"Knowledge Park",5,1481.75
Vaishali,"Mohan Nagar",5,3493.5
Mahipalpur,"Vasant Kunj",5,3237.5
"Knowledge Park","Model Town",5,1947.2
Sahibabad,"Jama Masjid",5,1743.3
"Ambience Mall","Vasant Kunj",5,2564.5
"Greater Kailash",Seelampur,5,3689.5
"South Extension","Greater Noida West",5,3769.2999999999997
"Noida Sector 16",AIIMS,5,3551.75
"Noida Sector 76","Mayur Vihar",5,2075
"Noida Sector 62",Daryaganj,5,2419
"Anand Vihar ISBT","Noida City Centre",5,1517.5
"Defence Colony","IGI Airport T1",5,3856.35
"IGI Airport T1","Beta 1",5,1841.25
"Noida City Centre","Anand Vihar ISBT",5,3063
"Green Park","Ambience Mall",5,3830.5
"Beta 1","Noida Sector 18",5,1927.5
"Green Park","Golf Course Road",5,2995.2000000000003
"Greater Kailash",Saket,5,2347
"South Extension",Kalkaji,5,2137.2
Daryaganj,"Nehru Place",5,2103.6
Aerocity,"Noida Sector 137",5,3716.5
"Pari Chowk",Loni,5,1879.6
"Noida Sector 15","Jama Masjid",5,1347
"Red Fort","Noida Sector 63",5,1705.25
"Hauz Khas","Model Town",5,1857.8
"Noida Sector 76","Rajouri Garden",5,1852.25
"Anand Vihar ISBT","DLF Phase 3",5,2921.75
Bisrakh,"Noida Sector 63",5,2477.8
"Chandni Chowk","Noida City Centre",5,2496
"Old Delhi Railway Station","Botanical Garden",5,1625.3
"DLF Phase 2",Mahipalpur,5,1298.5
"Lajpat Nagar","Sector 14 Gurugram",5,2129
"Defence Colony","Rajouri Garden",5,3051.25
"Mayur Vihar","Noida Sector 15",5,5052
Saket,"Noida Sector 76",5,2211.3
"Defence Colony","Logix Mall",5,2871
Sahibabad,"DLF Phase 4",5,2900.5
Aerocity,"Logix Mall",5,3622.5
"Jama Masjid","Noida Sector 16",5,3047.4
"Karol Bagh","Greater Noida West",5,1599.5
"DLF Phase 3",Aerocity,5,1782.45
"Wave City Center","IGI Airport T1",5,2434.7
"Kashmere Gate","Green Park",5,3129.25
"Laxmi Nagar","Beta 1",5,2597.1
"Cyber Hub","Sector 56 Gurugram",5,3471.85
"Model Town","Red Fort",5,2899.15
Kaushambi,Shahdara,5,7270.299999999999
"Rajouri Garden",Shahdara,5,3654.95
Loni,"Sector 56 Gurugram",5,857.55
Bisrakh,Manesar,5,1973
Mahipalpur,"Anand Vihar ISBT",5,1720.75
"Pari Chowk","DLF Phase 4",5,2509.2
Daryaganj,"RK Puram",5,2172.5
"Sector 45 Gurugram","Udyog Vihar",5,2486.5
"Noida Sector 37","DLF Phase 3",5,2765.5
Seelampur,"Connaught Place",5,1294.9
"Mayur Vihar",AIIMS,5,3807.9
"Civil Lines","Noida Sector 137",5,3275.5
"South Extension","DLF Phase 4",5,1950.5
"Noida City Centre","Green Park",5,2822.15
"Pari Chowk","Kashmere Gate",5,1569.25
AIIMS,"Botanical Garden",5,2152.75
"Noida Sector 137","Noida Sector 78",5,3737.5
"Laxmi Nagar",Manesar,5,2814.25
"Malviya Nagar",Surajpur,5,2849
"Huda City Centre","Cyber City",5,2726.5
"Defence Colony",AIIMS,5,2205.7999999999997
"Ambience Mall","Mandi House",5,2527
"Connaught Place","Old Delhi Railway Station",5,3086.2
"IFFCO Chowk","Beta 1",5,2442.5
"Old Delhi Railway Station","Civil Lines",5,2052.6
"Film City Noida","Defence Colony",5,2877
"Gamma 1",Saket,5,2776
"Wave City Center","Knowledge Park",5,2959.2
"MG Road","Model Town",5,2831.5
"Noida Sector 137","Noida Sector 62",5,1618.5
"Yamuna Bank",Sahibabad,5,1965.8
Pitampura,Kalkaji,5,2015.9
"Mayur Vihar",Janakpuri,5,2766.95
"Mayur Vihar","Noida Sector 18",5,2802.55
"Sector 14 Gurugram","Chandni Chowk",5,3470.3999999999996
"DLF Phase 1",Janakpuri,5,2327.75
Kaushambi,"DLF Phase 2",5,2453.1000000000004
"Noida Sector 76",Surajpur,5,1532
"Noida Sector 18","Pragati Maidan",5,1726.35
"New Delhi Railway Station","IFFCO Chowk",5,3348.45
"Model Town","Mohan Nagar",5,2364.25
Kalkaji,"Laxmi Nagar",5,1530.7
"MG Road","Mayur Vihar",5,2226.5
Dwarka,"Chandni Chowk",5,1866.9
"Golf Course Road","Lajpat Nagar",5,2465.25
"IGI Airport T1","Mandi House",5,1807.5
Indirapuram,"Defence Colony",5,2688.9
"Sector 56 Gurugram","Mayur Vihar",5,1853.15
"Rajouri Garden","Dilshad Garden",5,1843.5
INA,"Karol Bagh",5,2800.2
Seelampur,Ecotech,5,1899.2
Loni,Vasundhara,5,3288.45
AIIMS,Bisrakh,5,2357.9
"Nehru Place","Noida Sector 15",5,2247.25
Dwarka,"Cyber Hub",5,2174.25
"Cyber City",Indirapuram,5,2209.55
"Jama Masjid",Ecotech,5,1872.2
"Greater Kailash","Vasant Kunj",5,2313
Daryaganj,"Noida Sector 15",5,1882.3
"Hauz Khas",Daryaganj,5,4569
"Mayur Vihar","DLF Phase 4",5,3645
"Sohna Road","Raj Nagar Extension",5,2664.5
"Noida Sector 62","IFFCO Chowk",5,2601.75
"Wave City Center","Sector 45 Gurugram",5,2072.6
"Noida Sector 76","DLF Phase 2",5,2274.85
"Old Delhi Railway Station","Noida Sector 76",5,1872.2
"Airport T3","DLF Phase 4",5,3848.1
Sahibabad,Loni,5,1574.5
Bisrakh,Seelampur,5,3756.5
Daryaganj,"DLF Phase 3",5,2126.25
Ecotech,"Civil Lines",5,2245
"Raj Nagar Extension",Vaishali,5,2974.15
"Pari Chowk","Mohan Nagar",5,2357.9
"Old Delhi Railway Station",Indirapuram,5,1692.45
Akshardham,"Dilshad Garden",5,2342.7
"Old Delhi Railway Station",Sahibabad,5,4041
"DLF Mall of India",Mahipalpur,5,1817.5
"Green Park",Sahibabad,5,1510
Loni,Surajpur,5,2953.7
Aerocity,"Cyber City",5,2802.1
"Ghaziabad Railway Station","Laxmi Nagar",5,2232.5
Kalkaji,"Model Town",5,2156
Dwarka,"Film City Noida",5,1247.4
"Noida Sector 137","Malviya Nagar",5,3074.3
"Knowledge Park",Vaishali,5,1302
"Yamuna Bank","Greater Kailash",5,3076.55
"DLF Mall of India","Golf Course Road",5,2484.8
Saket,"Noida Sector 78",5,2028.25
Sahibabad,"IGI Airport T1",5,1990.5
"Laxmi Nagar","Hauz Khas",5,2340.8
"Logix Mall",Bisrakh,5,3051.5
"Sector 14 Gurugram",Mahipalpur,5,2026.5
Rohini,"Pari Chowk",5,1535.6
"Chandni Chowk",Vasundhara,5,2078.7
"Preet Vihar","Noida Sector 137",5,2302.65
"DLF Phase 3","Kashmere Gate",5,2069.5
Bisrakh,Loni,5,1709.8
"Film City Noida","Cyber Hub",5,3734.3500000000004
"Cyber Hub","DLF Phase 1",5,2801.7
"Ambience Mall","Raj Nagar Extension",5,2924.1
"Film City Noida","Sector 14 Gurugram",5,2352.25
"Dilshad Garden","Yamuna Bank",5,3860
AIIMS,Indirapuram,5,2228.8
"Udyog Vihar","Lajpat Nagar",5,3024.55
"Knowledge Park",Dwarka,5,2635.25
Akshardham,"Botanical Garden",5,1320
AIIMS,"Vasant Kunj",5,1776
"Film City Noida","Green Park",5,3092.25
"Preet Vihar",Manesar,5,1711
"Sarojini Nagar","IGI Airport T1",5,3082
"Mohan Nagar","Mayur Vihar",5,1296
"Sohna Road","Sector 29 Gurugram",5,2457.25
Kaushambi,"Sarojini Nagar",5,2291.2
"Old Delhi Railway Station","Mohan Nagar",5,1830
"Preet Vihar","Logix Mall",5,2508.25
"Ambience Mall","IGI Airport T1",5,2889.1
"Kashmere Gate",Manesar,5,1499.25
"IFFCO Chowk","Gamma 1",5,2041.6499999999999
Seelampur,Saket,5,1966
Indirapuram,"Botanical Garden",5,2941.5
"DLF Phase 4","Dilshad Garden",5,3511.5
"Karol Bagh","South Extension",5,2163.8
Shahdara,"Old Delhi Railway Station",5,2701.25
"Film City Noida","DLF Phase 1",5,1146.3
"DLF Phase 1",Kaushambi,5,1678.65
"Noida City Centre",Mahipalpur,5,2245.7
Indirapuram,"Noida Sector 62",5,2682.2
"South Extension",Janakpuri,5,2693.5
"Sector 56 Gurugram","New Delhi Railway Station",5,2970.75
"Vasant Kunj",ITO,5,3902.25
AIIMS,"Noida Sector 37",5,3820.3
Indirapuram,Kalkaji,5,3178.5
"Airport T3","Noida Sector 76",5,1775.6999999999998
"Chandni Chowk","Huda City Centre",5,2037.9
"Pragati Maidan","Knowledge Park",5,433.9
"Cyber Hub","Noida Sector 78",5,5356.95
"Botanical Garden","Noida Sector 137",5,2405.9
"Gamma 1","Noida Sector 18",5,2830.25
"Anand Vihar Railway Station","Chandni Chowk",5,1459.8000000000002
"Film City Noida",Mahipalpur,5,1919
ITO,"Jama Masjid",5,2813
Akshardham,"Sector 29 Gurugram",5,2958.05
Shahdara,"New Delhi Railway Station",5,2265.25
"Sector 56 Gurugram","IGI Airport T1",5,1863
Seelampur,"DLF Phase 1",5,2262.5
"Sector 56 Gurugram","DLF Mall of India",5,2386.25
"DLF Phase 4",Kaushambi,5,2432
"Lajpat Nagar","Noida Sector 18",5,2721
"MG Road","Anand Vihar ISBT",5,2902.8999999999996
"Botanical Garden",ITO,5,2643.5
"Cyber Hub",Pitampura,5,3300.4
"Sector 14 Gurugram","Malviya Nagar",5,2404.55
"Sector 14 Gurugram","Golf Course Road",5,1810.9
"Connaught Place",Ecotech,5,2380.5
"Cyber Hub","Noida Sector 18",5,1512.75
"Nehru Place",Manesar,5,1602.7
"DLF Phase 3","Sector 14 Gurugram",5,3304.25
"Laxmi Nagar","Noida Sector 137",5,3715.1
"Jama Masjid","Cyber City",5,1946.4
ITO,Manesar,5,2647.75
"Sector 56 Gurugram","Crossings Republik",5,2419.3
"Mandi House","Vasant Kunj",5,3777.25
"Old Delhi Railway Station",Vasundhara,5,2888
"Sector 56 Gurugram",Vaishali,5,2285
"Noida Sector 63",Vasundhara,5,1681.8
Seelampur,"Cyber Hub",5,3151.2
"Sector 29 Gurugram","Noida Sector 63",5,2476.8
"Film City Noida",Loni,5,2942.75
"Noida Sector 37",Sahibabad,5,1509.1
"RK Puram","Old Delhi Railway Station",5,2517.6
"Old Delhi Railway Station","Connaught Place",5,1831.5
"Mandi House","Noida City Centre",5,2002.25
Manesar,"Sector 56 Gurugram",5,3309
Loni,"Sector 29 Gurugram",5,2787.8
Mahipalpur,Dwarka,5,3605.65
"Model Town","Noida Sector 62",5,2157.3
Loni,Bisrakh,5,1833
"Knowledge Park","Noida Sector 62",5,1464.5
Janakpuri,"Mandi House",5,2097.2
"Mohan Nagar",Kaushambi,5,1973
Pitampura,"Golf Course Road",5,1391.7
"DLF Phase 3","Huda City Centre",5,1565.5
"Beta 1","Sohna Road",5,2371.7
"Laxmi Nagar",Akshardham,5,2806.25
"Mayur Vihar",Akshardham,5,2423.75
"Knowledge Park","Cyber City",5,3115.1000000000004
"Golf Course Road","Anand Vihar ISBT",5,1845.25
"Gamma 1","Crossings Republik",5,2293.75
"IGI Airport T1",INA,5,2115.2
Pitampura,"Alpha 1",5,2329.5
Shahdara,Pitampura,5,3790.75
Bisrakh,"Huda City Centre",5,1360.25
"Noida Sector 16","Nehru Place",5,2775.7
"Film City Noida","Karol Bagh",5,4073.75
"Sector 14 Gurugram","Noida City Centre",5,2268.6
"Beta 1","Sector 14 Gurugram",5,1460.5
